Year,Visits Per Capita,Library
2014,3.26995,EL DORADO COUNTY LIBRARY
2015,3.21273,EL DORADO COUNTY LIBRARY
2016,,EL DORADO COUNTY LIBRARY
2017,,EL DORADO COUNTY LIBRARY
2018,2.22244,EL DORADO COUNTY LIBRARY
2019,1.537,EL DORADO COUNTY LIBRARY
2010,16.72977,EL SEGUNDO PUBLIC LIBRARY
2011,15.15843,EL SEGUNDO PUBLIC LIBRARY
2012,15.18597,EL SEGUNDO PUBLIC LIBRARY
2013,10.25744,EL SEGUNDO PUBLIC LIBRARY
2014,10.03171,EL SEGUNDO PUBLIC LIBRARY
2015,10.12273,EL SEGUNDO PUBLIC LIBRARY
2016,13.03667,EL SEGUNDO PUBLIC LIBRARY
2017,13.5737,EL SEGUNDO PUBLIC LIBRARY
2018,13.23222,EL SEGUNDO PUBLIC LIBRARY
2019,10.33516,EL SEGUNDO PUBLIC LIBRARY
2010,3.43994,ESCONDIDO PUBLIC LIBRARY
2011,3.553,ESCONDIDO PUBLIC LIBRARY
2012,3.46176,ESCONDIDO PUBLIC LIBRARY
2013,3.34312,ESCONDIDO PUBLIC LIBRARY
2014,3.16769,ESCONDIDO PUBLIC LIBRARY
2015,2.97046,ESCONDIDO PUBLIC LIBRARY
2016,2.71782,ESCONDIDO PUBLIC LIBRARY
2017,2.6924,ESCONDIDO PUBLIC LIBRARY
2018,2.59374,ESCONDIDO PUBLIC LIBRARY
2019,1.53423,ESCONDIDO PUBLIC LIBRARY
2010,3.07072,FOLSOM PUBLIC LIBRARY
2011,3.39399,FOLSOM PUBLIC LIBRARY
2012,3.50788,FOLSOM PUBLIC LIBRARY
2013,3.48006,FOLSOM PUBLIC LIBRARY
2014,3.48552,FOLSOM PUBLIC LIBRARY
2015,3.42472,FOLSOM PUBLIC LIBRARY
2016,3.26516,FOLSOM PUBLIC LIBRARY
2017,3.54135,FOLSOM PUBLIC LIBRARY
2018,3.45494,FOLSOM PUBLIC LIBRARY
2019,2.38604,FOLSOM PUBLIC LIBRARY
2010,3.28326,FRESNO COUNTY PUBLIC LIBRARY
2011,3.86894,FRESNO COUNTY PUBLIC LIBRARY
2012,3.4296,FRESNO COUNTY PUBLIC LIBRARY
2013,4.17924,FRESNO COUNTY PUBLIC LIBRARY
2014,3.63562,FRESNO COUNTY PUBLIC LIBRARY
2015,2.9265,FRESNO COUNTY PUBLIC LIBRARY
2016,2.89267,FRESNO COUNTY PUBLIC LIBRARY
2017,2.87746,FRESNO COUNTY PUBLIC LIBRARY
2018,2.67725,FRESNO COUNTY PUBLIC LIBRARY
2019,1.69859,FRESNO COUNTY PUBLIC LIBRARY
2010,,FULLERTON PUBLIC LIBRARY
2011,3.28539,FULLERTON PUBLIC LIBRARY
2012,3.69477,FULLERTON PUBLIC LIBRARY
2013,3.5561,FULLERTON PUBLIC LIBRARY
2014,3.3903,FULLERTON PUBLIC LIBRARY
2015,3.40449,FULLERTON PUBLIC LIBRARY
2016,3.03631,FULLERTON PUBLIC LIBRARY
2017,3.90733,FULLERTON PUBLIC LIBRARY
2018,3.80143,FULLERTON PUBLIC LIBRARY
2019,2.54179,FULLERTON PUBLIC LIBRARY
2010,4.59077,"GLENDALE LIBRARY, ARTS & CULTURE"
2011,5.04965,"GLENDALE LIBRARY, ARTS & CULTURE"
2012,4.62502,"GLENDALE LIBRARY, ARTS & CULTURE"
2013,3.7403,"GLENDALE LIBRARY, ARTS & CULTURE"
2014,3.68948,"GLENDALE LIBRARY, ARTS & CULTURE"
2015,3.06363,"GLENDALE LIBRARY, ARTS & CULTURE"
